"U.S. food supply:  Nutrients and other food components, per capita per day1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Food energy,Carbo-      hydrates,Protein,Fat,,,,Cholesterol,Dietary           fiber,Vitamins,,,,,,,,,,,Minerals,,,,,,,,
,,,,Total fat,Saturated,Monoun-saturated,Polyunsaturated,,,Vitamin A (RE),Vitamin A (RAE),Carotene,Vitamin E,Vitamin C,Thiamin,Riboflavin,Niacin,Vitamin B6,"Folate
(DFE)",Vitamin B12,Calcium,Phosphorus,Magnesium,Iron,Zinc,Copper,Potassium,Selenium,Sodium
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-- Kilo-calories --,------------------------------------------------ Grams ------------------------------------------------,,,,,,-- Milligrams --,--- Grams ---,- Micrograms RE -,- Micrograms RAE -,-- Micrograms --,Milligrams Alpha-TE,----------------------------------- Milligrams --------------------------------,,,,,----- Micrograms -----,,----------------------------------------- Milligrams -------------------------------------------,,,,,,,-- Micrograms --,-- Millgrams --
1909,3400,499,101,119,50,45,13,440,29,1240,840,430,7.2,84,1.6,1.9,18,2.2,321,8.5,760,1540,390,14.0,13.6,1.9,3790,178.1,870
1910,3400,498,99,117,49,44,12,440,29,1210,830,430,7.3,86,1.5,1.9,18,2.2,319,8.1,750,1510,380,13.9,13.2,1.9,3760,174.0,860
1911,3400,492,98,118,49,45,12,460,28,1220,830,410,7.2,80,1.5,1.9,18,2.1,313,8.2,730,1490,370,13.5,13.0,1.8,3600,174.9,880
1912,3400,493,98,115,48,44,12,440,28,1200,830,420,7.2,84,1.5,1.9,18,2.1,318,8.1,780,1520,380,13.6,13.0,1.9,3780,174.5,880
1913,3400,492,97,116,48,44,12,430,28,1170,810,400,7.5,83,1.5,1.9,18,2.1,310,7.9,760,1500,370,13.3,12.8,1.8,3670,172.6,860
1914,3400,486,95,118,48,45,13,430,27,1150,790,400,8.4,82,1.5,1.8,17,2.0,302,7.6,740,1450,360,13.0,12.5,1.8,3540,167.8,840
1915,3300,483,94,117,48,45,13,430,28,1180,810,430,8.1,86,1.5,1.8,17,2.0,303,7.5,710,1450,360,13.1,12.2,1.8,3610,165.6,840
1916,3300,473,93,117,48,45,13,430,27,1190,810,420,7.5,77,1.5,1.8,17,1.9,292,7.6,690,1410,350,12.7,12.2,1.8,3410,162.7,840
1917,3200,472,92,113,46,44,12,410,28,1190,810,450,7.6,78,1.5,1.8,17,1.9,308,7.6,720,1440,370,13.5,12.4,1.9,3560,159.6,810
1918,3300,468,94,121,49,47,14,420,27,1220,830,450,8.5,81,1.5,1.9,17,2.1,309,8.1,800,1510,390,13.9,12.8,1.9,3750,159.6,860
1919,3300,480,93,120,49,47,14,430,27,1240,840,460,8.5,80,1.5,1.8,18,2.0,295,7.9,760,1460,370,13.4,12.5,1.9,3580,161.5,910
1920,3200,460,91,115,48,44,13,430,26,1240,850,470,7.5,83,1.4,1.9,17,1.9,295,7.8,790,1450,360,12.7,12.2,1.8,3560,159.8,900
1921,3100,445,88,114,48,42,13,430,25,1220,850,470,7.3,84,1.4,1.8,16,1.9,286,7.5,780,1420,350,12.4,11.9,1.7,3500,152.9,870
1922,3400,485,92,121,51,45,14,450,26,1280,890,500,8.1,84,1.4,1.9,17,1.9,294,7.8,800,1460,360,12.7,12.1,1.8,3560,159.1,890
